lambda,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Mean,SD
-2.000,0.138,0.100,0.125,0.125,0.131,0.150,0.062,0.163,0.100,0.156,0.125,0.029
-1.800,0.100,0.062,0.113,0.088,0.088,0.081,0.069,0.125,0.088,0.125,0.094,0.021
-1.600,0.069,0.044,0.069,0.056,0.069,0.056,0.069,0.094,0.062,0.094,0.068,0.015
-1.400,0.038,0.031,0.038,0.050,0.056,0.025,0.056,0.056,0.044,0.062,0.046,0.012
-1.200,0.019,0.019,0.019,0.038,0.031,0.013,0.025,0.038,0.031,0.044,0.028,0.010
-1.000,0.006,0.013,0.006,0.031,0.019,0.006,0.013,0.025,0.025,0.031,0.018,0.010
-0.800,0.006,0.013,0.006,0.038,0.013,0.006,0.013,0.019,0.025,0.019,0.016,0.009
-0.600,0.006,0.006,0.000,0.038,0.019,0.006,0.031,0.006,0.013,0.013,0.014,0.011
-0.400,0.006,0.006,0.006,0.025,0.013,0.000,0.031,0.013,0.013,0.006,0.012,0.009
-0.200,0.013,0.006,0.006,0.038,0.013,0.006,0.038,0.019,0.019,0.013,0.017,0.011
-0.000,0.025,0.019,0.019,0.038,0.019,0.006,0.056,0.025,0.013,0.013,0.023,0.014
0.200,0.025,0.019,0.025,0.044,0.025,0.019,0.062,0.025,0.019,0.013,0.028,0.014
0.400,0.025,0.038,0.031,0.081,0.031,0.056,0.081,0.038,0.025,0.025,0.043,0.021
0.600,0.044,0.088,0.038,0.094,0.075,0.062,0.113,0.062,0.056,0.069,0.070,0.022
0.800,0.050,0.119,0.062,0.119,0.100,0.088,0.131,0.094,0.075,0.075,0.091,0.025
1.000,0.081,0.175,0.106,0.163,0.119,0.125,0.150,0.144,0.106,0.106,0.128,0.028
1.200,0.125,0.200,0.150,0.200,0.150,0.138,0.188,0.156,0.125,0.119,0.155,0.029
1.400,0.144,0.231,0.188,0.238,0.169,0.175,0.238,0.213,0.163,0.131,0.189,0.037
1.600,0.181,0.275,0.213,0.269,0.225,0.194,0.288,0.256,0.213,0.150,0.226,0.043
1.800,0.256,0.300,0.269,0.288,0.263,0.225,0.356,0.306,0.256,0.200,0.272,0.042
2.000,0.281,0.306,0.325,0.331,0.294,0.275,0.400,0.388,0.294,0.238,0.313,0.047
