"eta, c",F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Mean,SD
"(1e-05, 0.01)",0.01250,0.00625,0.00000,0.03125,0.01875,0.00625,0.03125,0.01875,0.01250,0.00625,0.01438,0.01010
"(1e-05, 0.1)",0.01250,0.00625,0.00000,0.02500,0.01875,0.00625,0.03125,0.01250,0.00625,0.00625,0.01250,0.00927
"(1e-05, 1)",0.00625,0.00625,0.00000,0.02500,0.01875,0.00625,0.03125,0.01250,0.01250,0.01250,0.01313,0.00904
"(1e-05, 10)",0.00625,0.00625,0.00000,0.02500,0.01875,0.00625,0.03125,0.00625,0.01250,0.01250,0.01250,0.00927
"(1e-05, 100)",0.01250,0.00625,0.00000,0.02500,0.01875,0.00625,0.03125,0.00625,0.01250,0.00625,0.01250,0.00927
"(0.0001, 0.01)",0.01250,0.00625,0.00000,0.02500,0.01250,0.00625,0.03125,0.01250,0.00625,0.00625,0.01188,0.00904
"(0.0001, 0.1)",0.00625,0.00625,0.00000,0.02500,0.01250,0.00000,0.03125,0.01250,0.00625,0.00625,0.01063,0.00970
"(0.0001, 1)",0.00625,0.00625,0.00000,0.02500,0.01875,0.00625,0.03125,0.01250,0.01250,0.01250,0.01313,0.00904
"(0.0001, 10)",0.01250,0.00625,0.00000,0.02500,0.01875,0.00625,0.03125,0.00625,0.01250,0.01250,0.01313,0.00904
"(0.0001, 100)",0.00625,0.00625,0.00000,0.02500,0.01250,0.00625,0.03125,0.00625,0.31250,0.01250,0.04188,0.09066
"(0.001, 0.01)",0.01250,0.00625,0.00000,0.02500,0.01250,0.00625,0.03125,0.01250,0.00625,0.00625,0.01188,0.00904
"(0.001, 0.1)",0.00625,0.00625,0.00000,0.02500,0.01250,0.00000,0.03125,0.01250,0.00625,0.00625,0.01063,0.00970
"(0.001, 1)",0.00625,0.00625,0.00000,0.02500,0.01875,0.00625,0.03125,0.01875,0.01250,0.00625,0.01313,0.00946
"(0.001, 10)",0.00625,0.00625,0.00000,0.03125,0.01875,0.00625,0.03125,0.01250,0.08750,0.36250,0.05625,0.10488
"(0.001, 100)",0.01250,0.00625,0.00000,0.02500,0.01875,0.00625,0.03125,0.01250,0.02500,0.04375,0.01813,0.01264
